Username,Review,airline
Brian,This is the flight that never got off the ground. Malaysian cancelled our flights leaving us stranded in Nepal. No warning. No assistance offered. Just abandoned. Malaysian didn’t want to know us or talk to us. All communications went unanswered. On our return to Australia I…,mas
Andrew B,Absolutely despicable company. Cancelled my flights and then refused me a refund. I have been in contact with a member of their customer service team for a while now and their replies have been so slow and irrelevant and generally ignorant to what I have said I can only assume…,mas
kawafamily,"Flight in coming November has been cancelled by MH. To get refund, we have to pay refund fee which is 70% of the fare. Plus, though I made the payment by credit card, refund will be made by bank transfer, not now but many months later. God knows when! To make a new booking on…",mas
dreidy,The very worst international travel I have ever experienced. Actually denied water via the cabin assistant button as the host kept passing by and turning it off until I left my seat to complain. I took a photo of the host. I will not post it but was told if I was to post it…,mas
Mario,Booked a round trip flight was late first trip and got the round trip expired. Did let the operator know was travelling with another airline and to reserve the return trip but was ignored. Their customer service motto is if u dont bend by our rules ur ticket get burned. Poor or…,mas
mk092016,We had business Class seats booked from KL to Phnom Penh in November and Malaysian Airlines cancelled our flight and moved it to another date which we cannot fly on. I called them today and asked for a full refund They refused they said it’s not their fault it’s the fault of…,mas
Meri channel k,"Me and my wife had travelled from Malasiyan airlines couple of times. I found out the staffs are very racists. Though, we paid the same fair, we were treated as third class. I asked a glass of water to a staff in the plane and he looked to my eyes very rudely and dropped the…",mas
yzat181,"I purchased two return tickets Melbourne to London, after purchasing the tickets Malaysia Airlines (MAS) changed the flight schedule resulting in 17.5 hrs at KL airport and 1 day delay arriving in London. MAS did not offer any alternative or accomodation during the delay.…",mas
DrDarren99,I’ve recently had two flights cancelled with Malaysian Airlines with no prospect of another flight anytime soon. On top of this I was lied to about the insurance I purchased from Malaysian Airlines. I was advised my insurance would cover me for any cancellation and I would be…,mas
Kunal P,"The most hopeless customer service on the face of the earth, no wonder they are capable of loosing entire planes. could not help with anything, required a refund after waiting 3 months for it to be processed, still no hope of it .",mas
prajs2018,"Malaysian airlines after multiple changes to our tickets, has finally cancelled the flight & I am refused a cash refund. All that is being offered is a evoucher which is not good enough. No one know when the travel restrictions are going to be lifted. Clearly when there is no…",mas
Gim T,"Worst Airline Ever. They changed the schedule charging you a fee, and canceled flight charging you a fee. When I asked of an alternative flight schedule, and what I heard is the schedule after two months. I should have booked my countries flight, and no I didn't, just to save…",mas
Avalanche,I have traveled in many airlines but this is by far one of the worst. Malaysian Airlines is pretty popular airlines if you are travelling any where in SEA you will find this option. But their customer service is totally horrible. Right from the start of booking a flight till…,mas
Stuart,"Flight was cancelled which is understandable, however airline is refusing a refund and are offering me the opportunity to rebook at twice the price of the original ticket value. There is nothing I can do, they are ransoming my money. It is cheaper to book a brand new ticket…",mas
angeloveskitty,"I have always been neutral towards Malaysian Airlines til one time i travel to Japan from Melbourne and there is this one flight attendant who was being a bully. I asked him if the airline has pinneaple juice. Then he asked me back,""Give me 1 airline name that has pinneaple…",mas
Kgoingcrazy,Flew previously to KL on a brand new plane lovely and comfortable served by lovely crew . Flights all on time and prices are good . On the back of this booked another flight to Bali which has been cancelled by the airline however they are refusing a refund and are only offering…,mas
costnit923,"They don't care at all about customer satisfaction, they cancelled a flight and don't want to provide refound. They force the passenger to complete the journey until the 30th of july not giving an year to complete the journey. If you travel with them just hope to don't have…",mas
John West,No refund since March 2020. They promised a full refund within 8 weeks. It’s now been 3 months. Still no refund. They owe me $3488 Australian dollars. Completely no ethics within the country and airline.,mas
Peter B,"I booked a flight on their website on last January and I called the customer service to change it and agreed to cancel it and buy again the correct one after agreed with Mr kross the customer service manager , till now nothing received after a lot of emails between us is any…",mas
Sexysusie0523,Still waiting for refund due to covid 19 from March. The company are saying they would refund within 28 days it’s been 2 Months now and nothing not responding to emails.,mas
Nacho Sanchez Merida,"We are appalled by how Malaysian Airlines have decided to deal with the cancellations of our flights due to the COV-19 situation. The airline has cancelled the trip we had booked through them for July, giving as no choice but to accept vouchers. The vouchers have been…",mas
Ann S,"We have actually not yet flown. Our flight was due to go in July 2020. I was trying to get a voucher because of COVID19 through the booking agent (mytrip.com) with no success so finally contacted Malaysia Airlines direct. The representative was very helpful, no problem that…",mas
Ethan L,The Cabin Crew are excellent on the flight. While flying with a little turbulence the pilot makes the flight comfortable.,mas
Anthony A,"Bought 3 refundable tickets through Traveloka for end May departure. Cancelled it due to recent situation and Malaysia Airline dont want to refund my money whatsoever the reasons I tried like ""Force Majeur - Corona related"", ""Self Cancellation"" with penalty fee. So whats the…",mas
Alex S,I paid for an upgrade for my mother's flight from London to Brisbane. on the last couple of days before she was due to fly back to London Malaysia airlines cancelled her flight. it took a week to get her a flight back to London on a British airways flight. we where told we would…,mas
Ron-Hazel W,"Just travelled back from New Zealand , had little option but to use Malaysia airlines, having had two earlier flights cancelled. The cabin staff were very nice and helpful, but the was awful not at all imaginative. The seats in economy were very squashed. The airports were…",mas
Michael,"As many other travellers, I was looking for flights and deciding if to book with Malaysia airlines or Airasia. Even though Malaysian was a little more expensive, i chosed them. What a mistake! Just like many world travellers, if you go to SEA you go there for a few weeks and…",mas
elches yo,"I faced a problem which i find very serious. Let me describe it. I bought tickets to Myanmar, applied for E visa. I had a flight with a transfer in Kl. The flight number MH866 from denpasar to Kuala Lumpur 01.10 , MH740 from Kuala lumpur to Yangon 09.10. When I got the…",mas
TheGlobetrottingGuy,"My flight from SIN to KCH was cancelled by the Malaysian Airlines (in a very confusing email, I might add). I called asking for a refund since it's unlikely I will be over there in the near future because of the minor issue of a WORLD PANDEMIC and since I live the U.S., and…",mas
Darren H,MalaysianAirlines - We had flights from London to KL - YOU cancelled the return flight and when applying for a refund you have replied by saying we have until 30 June to rebook and have to use the flights by 30 December 2020. As stated to yourselves via emails requesting a…,mas
ymeng0626,"Don't take this airlines unless you have no choice. No value for money and customer service is sxck, helpless. compare with this trouble airline, there have alot other airline is better than them.",mas
Stella M,"Never fly with Malaysia Airlines again. Last year our flight was messed about and gave us so much unnecessary stress (bare in mind I have a 2 year old toddler and 5 year old). My husband have submit a complaint after our flight. But as expected, no response. Goes to show how…",mas
Cher P,Our flight crew were fantastic on Malaysia Airlines 21st March 2020 . We had waited at the airport for 12 hours before our flight and we were so relieved it was not cancelled. The crew looked after us so well. They must have been just as stressed as us . There was a steward…,mas
Eka A,I usually fly with MH for Shanghai - KL route and have accumulated few Enrich points which I plan to utilize for an Award Up-grade. I have checked the website but could not find the Award Up-grade for Shanghai - Kuala Lumpur route. I sent email to MH Customer Service for 3…,mas
travelexplorer001,"Terrible check in services. We check in online electronically but when we arrived at the terminal, we had to queue with everyone because there was no online check in counter available. To make matters worse, we queued for 2 hours and had to run to the departure gate as the…",mas
trfinlay,"I have not flown Malaysia air for some time and was very impressed with the cabin, staff and amenities. But...having paid for a business class fare I expected more, there is no business lane for departure gates and same for boarding. When you go to where I was going it is a…",mas
Paul B,"Do not fly with Malaysian Airlines unless you want to be treated like a second class citizen.We flew from Heathrow to Kuala Lumper then from Kuala Lumper to Auckland, When we went to check in 48 hrs before the Heathrow flight we had been allocated seats on both flights. On the…",mas
Kevin S,"Booked in mh135, went to check in but was told that only passengers with long term visa were allowed to be checked in n issued a boarding pass. This lady, tengku marini,refused to check us in. After much persuasion took our matter to an immigration officer stationed at…",mas
shenquille,"couldn't have asked for a better flying experience. due to the corona virus outbreak, there were not a lot of people flying. got through the checking and customs in record breaking time. boarded quickly and took off on time as the flight was pretty empty. friendly staff…",mas
Theo K,"1) no explanation or apologize why the plane arrived 1 hour too late. 2) waiting about 40 minutes in a very hot plane. Ventilation truck came but no effect in the cabin. 3) Back in departure hall, no water or other drink. They told us where we can buy it! Also announced that…",mas
Peter s,"Kul - Syd return. Good flight over and great flight back. Malaysia Airlines economy product is almost always good. Though it does depend on the crew. On these two flights the crew were excellent, especially the return sector. Above and beyond in friendliness and ""can do""…",mas
honestest man,"Man, got a reservation confirmation email earlier, and 1 day before flight i was unable to check in online, turned out the flight was overbooked according to the staff. didnt receive any notification before that, woudlnt have known if i didnt call. the international hotline…",mas
Alexgpringle,"For some years, they have been my first choice for flights to Malaysia. Comfortable modern aircraft (A350), friendly, enthusiastic staff and very nice food. For me, definitely preferable to BA.",mas
Improving_everyday,"I booked these flights with MA in order to avoid the non-reliable budget airlines. As it turned out, this was a huge mistake. -These short flights were overpriced. -Yet, I could not even take them! They unilaterally changed both flights so that I could take any of them due to my…",mas
Melroy P,"Great flt. Comfortable seats, with enough legspace for a tall person. The stewardess kept you fed well. Inflt ent was ok.",mas
Warwick W,"flight was cancelled when i arrivaled at Kuala Lumpur. they said we sent an email 4 days ago, we did not receive. had to pay and book another flight. coming home from bangkok the plane was late leaving so missed the connecting flight at Kuala Lumpur then had to sleep in airport…",mas
Asrul A,"Easy web check-in via MH Mobile and getting updated flight information via sms alert. Most flight is equipped with Multimedia system, so can still view some movies although for short flight.",mas
Nirav S,I was flew back last month from mumbai to Kuala lumpur. i had 2 check in baggage with 28 KG. permissable luggage is 25kg checkin and 7kg on board. Where i didnt had any onboard to take so i told them i am not over weight. until 32kg total should be ok. Its same aircraft which…,mas
lasiesta4u2,"Hello. 0900 hours boarding London Heathrow. Take off 10.00 hours, but major electrical problems. 1100 no take off, 1300 no take off. No drinks or food. 1500 drinks and cold sandwiches. 1530 all passengers maybe change for evening flight. But not enough place. 1630 !!! Take…",mas
Segran Gounden,Very poor service during check in at Chennai. We were asked to to wait for 5 minutes for the supervisor to come to clarify our check in baggage allowance . That 5 minute wait turned out to be more than an hour. I had to go to counter twice to enquire and every time was told to…,mas
ianthegolfpro,We flew from London to KL and the reverse 2 weeks later. The in flight attendants were not interested at all in any of the customers on the flights. We are vegetarians and our pre-ordered meals were truly awful. Not only were we given breakfasts for the evening meals (a…,mas
WelshWebbs,"Appearded to be an older aircraft, Our departure was delayed for 30 minutes as a plug in the bulkhead area was missing its cover . Toilets were dirty for most of the journey ,no smies fron the air stewardesses,As for the food not good",mas
KP Nut,Great airline - on time and great staff. Food extremely average but hey hoo unless you travel up a class or two get used to it. Extremely generous with the booze unlike Virgin who appear to try and keep their booze virgin and all.,mas
62Stephen,"A350 - middle 2 seats, aisle access, smooth flight, service as good as usual. Food good quality although we tend to eat lightly. Business lounge in KL offers peace and quiet - good selection of food/refreshments.",mas
bgee123,Excellent as usual. An airline that i always choose wherever possible when i am flying to that part of the world. My connecting flight was equally as good to Laos with super direction to my next gate.,mas
aNNaSKL,Love the in-flight entertainment because the non-stop flight is 7-8 hrs. They provide the pillow and blanket as the cabin can be cold. The variety of meals selection is marvelous as it suits to Malaysian's taste. The toilet in the middle aeroplane is very wide and comfortable…,mas
Homer54,The aeroplane was a two year old Airbus A350. Very comfortable with a three three three seat arrangement. Service was excellent.,mas
keefos,"This is the first time we have flown with Malaysia Airlines. We have travelled to Asia & South East Asia around 15 times. All airlines we have used are generally good, but Malaysian Airlines seemed to have something extra. From initial booking/online check-in through to flight…",mas
Shashank Chavan,"My recent trip to Bali through Malaysia Airlines was full of comfort.The airline staff is friendly. The service is excellent, which includes lunch, dinner, drinks (wine, beer, fruit juice and other soft drinks. Plethora of movies and TV shows made my trip entertaining.",mas
Wilma P,First they cancelled my flight and transfer me to the later flight like late late instead of earliest flight . I have to wait 5 and half hours in malaysia . I did not find out until I arrived in malaysia that my flight was cancelled.They are not very helpful when i asked why my…,mas
bibbles1,The flight was an hour stopover in Kuala Lumpur but because the first flight was delayed we had to wait till the next day for the next flight. I assumed as the delay was so long I would get reimbursed for my flight never mind the hotel I’ve already paid an extra day to stay in. …,mas
Mike P,"Poor service, in fact on long haul flights hours of no service! Difficult to deal with their complaints department, a style of passive resistance by slow responses to emails using 'new mail' in replys and a different respondent each time.",mas
PaulH,"I have flown with this airline before,flight not great but adaquate. This last time was horrendous ! my trip consisted of 4 flights....2 to get to destination and 2 on return. Twice, planes broke down and we had to change planes, other flights were just late. Service was good…",mas
Raj_Josh,"People might have read my previous review about this airline, I had written two years back. Nothing changed in two years except the content in the entertainment box. Food – MUM-KL was good, but given no choice (veg or non-veg. Policy – eat what we feed) thanks, I had no problem…",mas
Agustin L,"A word of warning about excess baggage on. Overcharged on excess baggage fees, deplorable attitude by check in staff! I just thought I’d mention this incase anyone else gets stung for hundreds of Pounds in excess baggage just because the airline’s scales aren’t calibrated…",mas
Joshua,Airlines didnt even respond to my below email :/ I am so disappointed to say that I disliked every bit of my travel with Malaysian airlines this time. Where to start- The seats were so cramped. Air hostesses were so unhappy with their jobs. They gave such pathetic service. I…,mas
Uday Kumar H,"Malaysia Airlines- Kolkata to Kuala Lumpur to Sydney- A Pleasing Experience My wife and I reached Delhi Airport by SpiceJet which landed in Terminal 3. Malaysia Airlines, MH 191, was scheduled to fly from Terminal 3 at 23.10.2020. It started in time and arrived at Kuala Lumpur…",mas
rupee31,"My husband passed away on our trip to India and as we both had a return ticket from India to Australia, I requested for his ticket to be changed to my daughter’s name so she could accompany me back home. From Malaysia airlines, there was no level of compassion shown by the any…",mas
Naomi D,"Malaysia Airline failed to book our connecting flight home. The worst ‘service’ we have ever received, we only just managed to get our flights rebooked and are thousands out of pocket for accommodation due to the delay. 3 months later and unable to receive a refund. They are…",mas
Dianne B,"I have to preface this review with the comment that we did fly business which no doubt makes a big difference with service and food etc. We were very happy with the check in process, the business lounges, the service during the flight the staff in general, and the standard of…",mas
John,"Our Malaysian Airlines flight from Langkawi to Kuala Lumpur was delayed by approximately 40 minutes yesterday. And, because of this, our connecting flight from Kuala Lumpur to London Heathrow was looking highly unlikely that we would make it. However, I cannot fault the effort…",mas
David H,I do always enjoy the hospitality on MH 122 and MH123. Golden Lounge is reasonable however; the area designated for sleep is woefully designed. It’s next to the toilets so you constantly hear doors banging. It appears to be next to their family area with children running…,mas
Lucaipiranga,of course it was in business class and plane was empty. Very good flight with an amazing service from crew.,mas
DHJKL,"The company management, customer care and service and overall 'Malaysian hospitality' was abysmal, shocking and upsetting. I have a nut allergy and made them aware before booking, once I boarded the flight I was laughed at and scolded for not having informed them prior - they…",mas
Robert A,"Very disappointed with Malaysian Airlines. I was wanting to change my flight date going from Kuala Lumpur to Brisbane. Malaysian Airlines requires AUD1100.00 just to change to date. It is absolutely a ""day light roberry"" Malaysian airlines. Totally a rip off. So I just bought…",mas
Muhammad Khan,"Spend your money elsehwere seriously, they couldn't care at all about their customer or their health. It's all about the money for them. Never again!",mas
K Hill,The best Airlines that I came across. Fantastic service. Everything is organized well. Lots of peanuts and It's so tasty. Drinks being served all the time. Love the airline meals. Western and Malaysian to choose from. Stewardess are really hardworking and friendly. Toilets…,mas
Liz C,This is just a one hour flight but left bang on time and the cabin crew managed to serve everyone a complimentary drink and snack in that time. The cabin crew's uniforms are very smart and they were efficient and charming.,mas
Pam hoh,"From check in to landing a perfect professional service. Efficient and fast and very polite. The flight time was just under twelve hours. We had two nice meals, i chose the beef for dinner with two glasses of red wine and the traditional malay breakfast of nasi lemak was a…",mas
stanian,"Also flown MH2530 then returned MH2529 and MH2, flights were all on time and cabin crew on all sections were very attentive. I struggle to sleep when flying so I know what went on all through the flight. Drinks were served shortly after the seat belt signs went off and there was…",mas
Vince E,The flight was delayed out of Perth through no fault of the airline but it meant we missed the connecting flight to Nepal. On arrival at KL the staff had vouchers all ready for us and provided breakfast at the airport then transport to a first class golf resort hotel. We were…,mas
valerie s,We have never flown with this airline before and we were so pleased with the result. Cleanliness was very good and the food too. Mind we did have curry for breakfast. The flights were all on time and the takeoff and landings superb. No pressure in the ears which can be painful.…,mas
Sunshineswift13,After being a little apprehensive to fly with Malaysia airlines I cannot recommend them enough! Lovely clean plane which was absolutely huge! The food was great and there was a wide variety of movies available to keep us entertained on our 14 hour flight. I would definitely fly…,mas
JJbydc,"Seriously, what a horrible airline! I felt bad for the airline for all the tragedies happened to them, and decided to give it a try and help it out. What a mistake! They changed the my booking to the wee hours of the days, on both trips. and it has to force me cancel my meetings…",mas
Roysharmapwa,The flight crew were professional warm and friendly and not over the top. Check in was smooth. Boarding orderly ( suriprising!). Took off almost on time.,mas
ifi,"Very nice service on Malaysia airlines. Good leg room space between seats , airline was worth flying long distance.",mas
annt192016,"Flew from Heathrow to Perth, on arrival at Perth my bag was missing,it arrived the following day with the handle snapped off. Was missold a ticket for extra legroom on my return and was charged 66 Australian dollars more than the price on the ticket on going to the desk and…",mas
Karim Tutu,"My flight was great, no problems and the staff were very kind. The only problem was my trip to Bangkok from Denpasar; I transited in Kuala Lumpur so both flights had identical meals. Fish or chicken. I did not bother to eat on the second flight.",mas
Olive M,"We had a very comfy flight. Although not very long, staff very attentive.They even managed to serve food and drink!",mas
s_tarrant,"We have flown Malaysia airlines almost every year for the last 7 years mainly to Thailand, usually needing to fly a code share for the shorter flights between KUL and Thailand. We have flown both economy and business class and have never had a problem with them. I always find…",mas
letchemi,"We took off on time late night and arrived on schedule time. As it was late night I just settled in curled up and went to sleep. It was such a smooth flight so not much,announcement as put on your seat belt or return to your seats so it was just sleep all the way.",mas
Jamie I,"Is not surprising that the pilots of this airlines have not too much experience or training , the landing was so awful that I felt that the plane will break in two or more pieces. I've traveled the world in different airlines, weather conditions , countries and this Airline is…",mas
Muralidharan U,Flew Malaysian airlines from Singapore to Sydney ( transit at KL). The flights were on time onward and return. Cabin is clean and the service is excellent. The food was awersome and quite a bit of choice. The seat and bed are comfortable... though the foot rest in a whole…,mas
piel_canela_2009,we were flying from Boracay to Manila to catch the Malaysia Airlines and got there late as the luggage took a long time and the flight was out of the international terminal. We went to customer service in terminal 1 and they were not very helpful at all. They sent us to…,mas
Adben1289,"When I was already at the boarding gate, they opened all my carry on and inspect everything. Even after all the checks done by the airport (xrays). For me, this was okay not really a big deal. However, I was not allowed to bring any liquids at all and thats after the 2 checks…",mas
Daniel Rajendran,"Not the MAS I used to know 20 years back. Economy seats are so cramped. Business is below average. Service standards have gone down below average.. More of a low cost carrier. Having flown MAS for than 30 sector, the service is basically deteriorating, Menu is so blant and…",mas
AD123,"I had to apply for a compassionate refund on a non refundable fare. I didn’t expect much but I was encouraged by the airline staff to proceed with this. I should have just listened to my instincts. the process was so terrible, time consuming, unreliable, upsetting, intrusive…",mas
Arif Z,"One of the worst airlines service I have experienced. First they cancel flight after checking in, loose 2 of the 4 checked in luggage and has been nearly a month; where finally admitted they have lost luggage. After nearly daily back and forth have agreed to compensate only 25%…",mas
Stektan,On a flight that was almost empty. Saw that the emergency door seats were empty and requested if I could shift to those seats and were familiar with the regulations of emergency seat rows. Was told rudely that those are premium seats that I need to pay more! Clearly no sense of…,mas
John R,Eight hour flight shortened by fabulous flight attendant. Really pampered. She really couldn’t do enough for us. Thank you.,mas
atran1979,"I have always flown Malaysia Airlines from when I was a child travelling with my parents to now, me as a parent travelling with my two children. As soon as you step on the flight the vibe is cold. The attendants are not attending to you and do the bare minimum. When you ask a…",mas
WAA,My return flight was changed less than 2 week before I was due to flight out. The new flight time was more than 15 hrs later that the one I booked. This got me home the following day which completely ruined my plans. Customer Service refused to refund or allow me to change the…,mas
Global466561,"I am just taking malaysia to kathmandu airlines after around after15 mins, but above the lift there is 2 lady standing with mask in check-in area and and I gave them a passport of my husband and mine. But she was so rude and over smart she couldn't find my boarding pass which…",mas
Setareh S,"Even 1 circle is too much for them. One of the worst experiences ever, I would never ever use this flight again and would also advise all my friends and family not to use this flight. I booked this flight for my mother. The flight experience was not bad, but the ground service…",mas
Sharear K,Worse flight ever! Really bad food! Inflight entertainment selection is horrible. One of the most rude group of cabin crew i have ever encountered in any flight in my life!!! Overall just shocking experience!!,mas
Michael H,"I flew from London to Kuala Lumpur recently and the inflight service with regard to beverages and food service was very poor indeed, compared to SIA , Thai or Cathay Pacific Orange juice taste and look like diluted orange squash and was warm and so was the water that in some…",mas
marc v,Theey forfeited my ticket without any prior information. After check in tI could not print it and I was asked to get it from the check in counter prior to my flight. When I did so they told me my ticket was forfeited. After I lodged a complaint they their department told me…,mas
Martin W,"Had two 12+hour flights on the Airbus A380 a really great aeroplane.(out and back home) The staff make frequent visits through the cabin, the food and drink service were excellent and boarding was calm and efficient. I like being able to check in 48 hours before flying and…",mas
Martin W,"Had two 12+hour flights on the Airbus A380 a really great aeroplane. The staff make frequent visits through the cabin, the food and drink service were excellent and boarding was calm and efficient. I like being able to check in 48 hours before flying and being able to choose…",mas
jewkesc,"It was a real treat and the staff were lovely, especially Jonathan, Asraf, Diyana & Roslee. We were looked after very well. The food was great , in fact too much of it. Shame, I should have asked for a doggy bag. Very comfortable seats. Everything worked well. Could even make…",mas
Robtane,We were on the run way and take off stopped due to technical difficulties. 4 hours in the tarmac before we were taken to the air bridge and another 30 minutes wasted. Time wasted in airport when they made the economy passengers wait for a new boarding pass and couldn’t supply…,mas
Vinod M,"This Airline is beyond joke. Boarded MH135 on 25th. Horrible food, poor service, no smiles on face of staff. This is second time flown Malaysia Airlines in last 6 months and will request all flyers to choose flight wise, they are expensive, horrrrrrrrrible food, absolutely low…",mas
T D,"Fly from melbourne to vietnam to visit the family, forst time i have use this airlines and will be my last time as well. They combine 2 flights for check in kiosk and the queue was crazily long, but only 4 open kiosk and 2 of them are bussiness, arrive 3 hours before The flight…",mas
John doe,Tried to put my luggage in the appropriate hold above my seat to find it was full. I was the first person on the plane. Asked the stewardess where I should put my luggage. She told me the luggage was hers and the stewardess have priority over the paying customer. Started rudely…,mas
Raj D,I have used couple of times while I travel to Malaysia and its neighboring destinations as per their connectivity. The flight was on time and the price I got was very reasonable. Services and foods on the flight were also perfect.,mas
Jesy S,"We've purchased a round trip ticket with the Economy Smart fare. The website says that this fare category is refundable with only 400myr penalty. However, once we've made our request for refund for the flight back to KL, their Finance team have assessed that 95% of the total…",mas
invento,We got informed 4 hours before that our flight was cancelled. We missed our connecting flight in KL and they rescheduled the flight for the next day 9am. They provided a hotel that is outside of the airport more or less a dump (doesn't even have hot water). Food vouchers…,mas
Effect10,"I have never experienced such bad attitudes and service from any flight and I have taken hundreds of flights in my life. When I asked the air hostess if she could please clear my tray, she shook me away, as if I was an insect. When she next passed me, I told her please don’t do…",mas
IRELANDSMAN,13 JAN---- This airline is known to have a serious financial problem and in the last few years has changed GMs a number of times and it clearly shows in so many ways. This flight was so bad and it is my opinion that the male purser largely contributed to this by his sheer…,mas
